,month,year,METER_ID,BUILDING_GROUP,CONSUMPTION
591,3,2016,6,Residence,38112.93872
592,4,2016,6,Residence,40999.0123
593,5,2016,6,Residence,43585.96991
594,6,2016,6,Residence,52547.75836
595,7,2016,6,Residence,64743.0656
596,8,2016,6,Residence,71045.4885
597,9,2016,6,Residence,74241.7814
598,10,2016,6,Residence,48938.4126
599,11,2016,6,Residence,40850.3261
600,12,2016,6,Residence,35930.85331
601,1,2017,6,Residence,39814.6752
602,2,2017,6,Residence,38855.3062
603,3,2017,6,Residence,39299.95017
604,4,2017,6,Residence,40600.225
605,5,2017,6,Residence,50643.1771
606,6,2017,6,Residence,67678.0465
607,7,2017,6,Residence,71199.44912
608,8,2017,6,Residence,69088.74814
609,9,2017,6,Residence,72651.57185
610,10,2017,6,Residence,57855.065
611,11,2017,6,Residence,40681.3054
612,12,2017,6,Residence,34031.64142
613,1,2018,6,Residence,36835.59826
614,2,2018,6,Residence,36338.659
615,3,2018,6,Residence,37633.92521
616,4,2018,6,Residence,37896.8788
617,5,2018,6,Residence,63280.2272
618,6,2018,6,Residence,64980.3307
619,7,2018,6,Residence,70569.0173
620,8,2018,6,Residence,76425.0997
621,9,2018,6,Residence,79111.5298
622,10,2018,6,Residence,43098.11936
623,11,2018,6,Residence,40210.573
624,12,2018,6,Residence,33975.29412
625,1,2019,6,Residence,34602.75675
626,2,2019,6,Residence,35410.8284
627,3,2019,6,Residence,36182.58603
628,4,2019,6,Residence,35350.46756
629,5,2019,6,Residence,40191.662
630,6,2019,6,Residence,52303.193
631,7,2019,6,Residence,72807.1198
632,8,2019,6,Residence,70547.29676
633,9,2019,6,Residence,70430.12136
634,10,2019,6,Residence,44403.49986
635,11,2019,6,Residence,33087.55414
636,12,2019,6,Residence,29551.76269
637,1,2020,6,Residence,16088.87044
638,1,2016,17,Residence,17498.4336
639,2,2016,17,Residence,82096.3632
640,3,2016,17,Residence,79819.5454
641,4,2016,17,Residence,89410.401
642,5,2016,17,Residence,92796.2936
643,6,2016,17,Residence,106216.8597
644,7,2016,17,Residence,121512.5077
645,8,2016,17,Residence,120386.7591
646,9,2016,17,Residence,127220.0693
647,10,2016,17,Residence,94255.3592
648,11,2016,17,Residence,79854.5652
649,12,2016,17,Residence,68295.4399
650,1,2017,17,Residence,75605.7568
651,2,2017,17,Residence,74747.5021
652,3,2017,17,Residence,75194.6021
653,4,2017,17,Residence,75517.8357
654,5,2017,17,Residence,81684.6925
655,6,2017,17,Residence,101040.8796
656,7,2017,17,Residence,118549.6722
657,8,2017,17,Residence,114330.1338
658,9,2017,17,Residence,129930.1464
659,10,2017,17,Residence,83546.9631
660,11,2017,17,Residence,77735.3185
661,12,2017,17,Residence,66599.4076
662,1,2018,17,Residence,70105.3725
663,2,2018,17,Residence,68752.6564
664,3,2018,17,Residence,74630.3984
665,4,2018,17,Residence,76821.2007
666,5,2018,17,Residence,112032.1109
667,6,2018,17,Residence,103961.9819
668,7,2018,17,Residence,116267.8601
669,8,2018,17,Residence,113360.7654
670,9,2018,17,Residence,121482.76
671,10,2018,17,Residence,81012.9088
672,11,2018,17,Residence,78387.6232
673,12,2018,17,Residence,68131.7181
674,1,2019,17,Residence,70953.7174
675,2,2019,17,Residence,71203.8735
676,3,2019,17,Residence,76171.7212
677,4,2019,17,Residence,73610.4768
678,5,2019,17,Residence,86567.9268
679,6,2019,17,Residence,102363.9253
680,7,2019,17,Residence,116256.1734
681,8,2019,17,Residence,113852.4696
682,9,2019,17,Residence,125348.22
683,10,2019,17,Residence,81107.73344
684,11,2019,17,Residence,64884.7779
685,12,2019,17,Residence,61652.86567
686,1,2020,17,Residence,29864.85939
687,1,2016,21,Residence,2958.65872
688,2,2016,21,Residence,15689.78656
689,3,2016,21,Residence,13686.96028
690,4,2016,21,Residence,14904.228
691,5,2016,21,Residence,12926.39731
692,6,2016,21,Residence,8616.69312
693,7,2016,21,Residence,8465.32885
694,8,2016,21,Residence,12587.1864
695,9,2016,21,Residence,21282.91697
696,10,2016,21,Residence,16287.9576
697,11,2016,21,Residence,15492.82507
698,12,2016,21,Residence,12468.46885
699,1,2017,21,Residence,14164.50309
700,2,2017,21,Residence,14676.68185
701,3,2017,21,Residence,13264.35632
702,4,2017,21,Residence,14222.76089
703,5,2017,21,Residence,13830.40801
704,6,2017,21,Residence,10363.32205
705,7,2017,21,Residence,8570.932398
706,8,2017,21,Residence,11671.24331
707,9,2017,21,Residence,18882.34337
708,10,2017,21,Residence,15881.34355
709,11,2017,21,Residence,14457.83133
710,12,2017,21,Residence,11813.27877
711,1,2018,21,Residence,13026.38953
